cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
crc,2C_numeric_smiles_context,scaffoldcv,robust_weighted,9692,0.43111790457334326,0.40398845921988147,2.592134617762573,1.880398918353057,0.09327729678119123,0.12130749400188998,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,unseen_drug,simple_mean,1861,0.38012763970876406,0.505691399563807,2.486066675360088,1.9237864565432832,0.238023724085344,0.4308123905119576,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,unseen_drug,rank_mean,1861,0.3832250746167454,0.4257840077386378,3.643967459371281,3.1698813386961273,-0.6370610884181636,0.46424352512195727,3.0,DL|Graph|ML,,False
crc,2C_numeric_smiles_context,unseen_drug,robust_weighted,1861,0.3906342331583287,0.5082425188514698,2.4783385363733283,1.9127066830326696,0.2427536904517763,0.4352005544011908,3.0,DL|Graph|ML,,False
luad,2A_numeric,cv,simple_mean,125427,0.32553389072734107,0.30528204243837237,2.627798649882866,1.9945951719220472,0.0929695193689839,0.022606571800563392,3.0,DL|Graph|ML,,False
luad,2A_numeric,cv,rank_mean,125427,0.3252186121301486,0.2954933764730812,3.593650904362527,3.142415817038802,-0.6963266467762677,0.028127463926977053,3.0,DL|Graph|ML,,False
luad,2A_numeric,cv,robust_weighted,125427,0.3253713097619642,0.3051152365707636,2.6280021838410796,1.9950214577636411,0.09282900734503807,0.02150273672879353,3.0,DL|Graph|ML,,False
luad,2A_numeric,groupcv,simple_mean,125427,0.3163664992236586,0.29822133870074063,2.634318367709698,2.004801095350018,0.0884631476484199,0.021669167102344566,3.0,DL|Graph|ML,,False
luad,2A_numeric,groupcv,rank_mean,125427,0.31644240751427744,0.287815213428659,3.5955272629338246,3.1437875986439368,-0.6980985206053385,0.019760616505959124,3.0,DL|Graph|ML,,False
luad,2A_numeric,groupcv,robust_weighted,125427,0.31585644676958674,0.29781391623395115,2.634722131831374,2.0055605525558997,0.08818370224317029,0.023569388184499936,3.0,DL|Graph|ML,,False
luad,2A_numeric,holdout,simple_mean,25086,0.3324155872704955,0.3154083794696842,2.594930649841342,1.9549433000445886,0.09921658368202102,0.0376603703525797,3.0,DL|Graph|ML,,False
luad,2A_numeric,holdout,rank_mean,25086,0.33203191210845817,0.3030835681838973,3.5893480261565998,3.139956900426618,-0.7234552468703519,0.03016685890484352,3.0,DL|Graph|ML,,False
luad,2A_numeric,holdout,robust_weighted,25086,0.33222846137546186,0.31524109827602076,2.5951448412959923,1.954605365362056,0.099067872136967,0.03799196620773004,3.0,DL|Graph|ML,,False
luad,2A_numeric,scaffoldcv,simple_mean,125427,0.3144765618545968,0.2953455872829994,2.636623220522627,2.0050179547109055,0.08686738200129496,0.021505417307412296,3.0,DL|Graph|ML,,False
luad,2A_numeric,scaffoldcv,rank_mean,125427,0.31437536392146864,0.2861757551369683,3.5963143847504973,3.1453679647313395,-0.6988420870410799,0.01840851888731678,3.0,DL|Graph|ML,,False
luad,2A_numeric,scaffoldcv,robust_weighted,125427,0.3150817075743491,0.2957706529809413,2.6362579044782466,2.00435242754837,0.08712040176062963,0.019551230873226546,3.0,DL|Graph|ML,,False
luad,2A_numeric,unseen_drug,simple_mean,24092,0.31055850608227253,0.3045141316988369,2.7391665168760895,2.0766631955185972,0.07762402194917561,0.18509912878874513,3.0,DL|Graph|ML,,False
luad,2A_numeric,unseen_drug,rank_mean,24092,0.3102597948349917,0.29507941348400624,3.513967211096434,3.067307562910619,-0.5179816610781889,0.18233939243940261,3.0,DL|Graph|ML,,False
luad,2A_numeric,unseen_drug,robust_weighted,24092,0.31034445332937377,0.30435231740811797,2.7396704954853597,2.0768200203595275,0.0772845752420741,0.21571275582563593,3.0,DL|Graph|ML,,False
luad,2B_numeric_smiles,cv,simple_mean,125427,0.8145636053909855,0.8703551727027207,1.3930178600341665,1.045603586461443,0.7451110075555526,0.7391726315569844,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,cv,rank_mean,125427,0.8099934711531522,0.7916710881595248,3.4849443655315095,3.058080241681201,-0.5952524122028986,0.751568164111902,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,cv,robust_weighted,125427,0.8140876168885285,0.8699565477716745,1.396548039635161,1.0494345725336887,0.7438174935425295,0.7392218925271368,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,groupcv,simple_mean,125427,0.43870731865162954,0.49713509602372863,2.402930059457543,1.8064922744054581,0.2415621963435216,0.2734134249842483,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,groupcv,rank_mean,125427,0.4355599092828112,0.43962848333233046,3.5698523035631804,3.1154779899290017,-0.6739335274029057,0.16407095988189693,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,groupcv,robust_weighted,125427,0.4393787298239149,0.49724393804234684,2.4025568531627983,1.8061402361341556,0.2417977685612126,0.27509968448466104,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,holdout,simple_mean,25086,0.8175095812162503,0.8708185725457486,1.3824467462212766,1.038728823697615,0.744338288455771,0.8440198143549372,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,holdout,rank_mean,25086,0.8127659611596003,0.7919543952173722,3.4827591671801623,3.058747564353601,-0.6226160173849109,0.8435646716586362,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,holdout,robust_weighted,25086,0.8169174169565975,0.8703364932022281,1.3862620837898916,1.0426779003340871,0.7429251681878363,0.8442972253420747,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,scaffoldcv,simple_mean,125427,0.457682657929027,0.5141774054215359,2.3685370937704837,1.7768376352541868,0.26311775466834775,0.051370656079197566,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,scaffoldcv,rank_mean,125427,0.4628674155702467,0.4737608227852821,3.5683434985854747,3.1132403544210208,-0.6725188439422931,0.05373421349756298,2.0,DL|ML,Graph,False
luad,2B_numeric_smiles,scaffoldcv,robust_weighted,125427,0.45876384779005647,0.514604652341636,2.367405796210773,1.7771964867413526,0.26382150889852085,0.0508326423869795,2.0,DL|ML,Graph,False
