modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,brca,2C_numeric_smiles_context,XGBoost,unseen_drug,0.37223798046967216,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/unseen_drug
ML,brca,2C_numeric_smiles_context,RandomForest,scaffoldcv,0.5650368045650114,0.0969108814811286,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/RandomForest/scaffoldcv
ML,brca,2C_numeric_smiles_context,RandomForest,groupcv,0.48646805970258794,0.061655578222539933,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/RandomForest/groupcv
ML,brca,2C_numeric_smiles_context,RandomForest,unseen_drug,0.527501330033501,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/RandomForest/unseen_drug
ML,brca,2C_numeric_smiles_context,ExtraTrees,scaffoldcv,0.58706564859581,0.02019594192103153,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/ExtraTrees/scaffoldcv
ML,brca,2C_numeric_smiles_context,ExtraTrees,groupcv,0.5890278770956121,0.05921479259143376,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/ExtraTrees/groupcv
ML,brca,2C_numeric_smiles_context,ExtraTrees,unseen_drug,0.5911452591338701,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/ExtraTrees/unseen_drug
ML,brca,2C_numeric_smiles_context,LightGBM,scaffoldcv,0.42303910994098676,0.07486488184448539,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/LightGBM/scaffoldcv
ML,brca,2C_numeric_smiles_context,LightGBM,groupcv,0.3556009282922921,0.06745992734136885,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/LightGBM/groupcv
ML,brca,2C_numeric_smiles_context,LightGBM,unseen_drug,0.3796384318861593,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/LightGBM/unseen_drug
ML,brca,2C_numeric_smiles_context,CatBoost,scaffoldcv,0.33861283877808956,0.06455788332565181,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/CatBoost/scaffoldcv
